c_e,c_I,vx,l_ex,l_im
Ken,Min,705798837,1,1
Ken,MO ,1157013342,1,1
Ken,Mon,34151557,1,1
Ken,NHm,53814574,1,1
Ken,NJr,962452959,1,1
Ken,Nyr,1033860759,1,1
Ken,Nca,1268264625,1,1
Ken,Nda,35186452,1,1
Ken,Ohi,4649268731,1,1
Ken,Pen,1433330482,1,1
Ken,Ten ,3105721861,1,1
Ken,Tex,2282462367,1,1
Ken,Ver,0,1,1
Ken,Vir,1400731269,1,1
Ken,Was,336341088,1,1
Ken,Wis,686653267,1,1
Lou,Ala ,1140455012,1,1
Lou,Ari ,81239309,1,1
Lou,Cal,1375376326,1,1
Lou,Flo,1405388300,1,1
Lou,Geo,961935511,1,1
Lou,Ida,0,1,1
Lou,Ill,1636170031,1,1
Lou,Ind,395847588,1,1
Lou,Ken,630768902,1,1
Lou,Lou,24519265310,1,1
Lou,Mai,0,1,1
Lou,Mry,267003079,1,1
Lou,Mas,111251283,1,1
Lou,Mic,493645228,1,1
Lou,Min,226124701,1,1
Lou,MO ,503476736,1,1
Lou,Mon,77617174,1,1
Lou,NHm,21732809,1,1
Lou,NJr,1208240677,1,1
Lou,Nyr,456906432,1,1
Lou,Nca,481226480,1,1
Lou,Nda,0,1,1
Lou,Ohi,928301403,1,1
Lou,Pen,395847588,1,1
Lou,Ten ,841887615,1,1
Lou,Tex,5112384536,1,1
Lou,Ver,4139583,1,1
Lou,Vir,308398905,1,1
Lou,Was,107629148,1,1
Lou,Wis,283561410,1,1
Mai,Ala ,49674991,1,1
Mai,Ari ,38291139,1,1
Mai,Cal,427929353,1,1
Mai,Flo,212671057,1,1
Mai,Geo,203356996,1,1
Mai,Ida,6209374,1,1
Mai,Ill,316678070,1,1
Mai,Ind,146437735,1,1
Mai,Ken,82791652,1,1
Mai,Lou,10348957,1,1
Mai,Mai,3607646254,1,1
Mai,Mry,107111700,1,1
Mai,Mas,836195689,1,1
Mai,Mic,134018987,1,1
Mai,Min,97797639,1,1
Mai,MO ,109181492,1,1
Mai,Mon,0,1,1
Mai,NHm,496232467,1,1
Mai,NJr,317195518,1,1
Mai,Nyr,552116832,1,1
Mai,Nca,155751796,1,1
Mai,Nda,0,1,1
Mai,Ohi,284078857,1,1
Mai,Pen,412923366,1,1
Mai,Ten ,149024974,1,1
Mai,Tex,160408827,1,1
Mai,Ver,162478618,1,1
Mai,Vir,135053883,1,1
Mai,Was,71407800,1,1
Mai,Wis,138158570,1,1
Mry,Ala ,280456723,1,1
Mry,Ari ,232334075,1,1
Mry,Cal,1366579713,1,1
Mry,Flo,1695159083,1,1
Mry,Geo,707868628,1,1
Mry,Ida,0,1,1
Mry,Ill,959865720,1,1
Mry,Ind,1026099042,1,1
Mry,Ken,150059870,1,1
Mry,Lou,220950222,1,1
Mry,Mai,98832535,1,1
Mry,Mry,15793025145,1,1
Mry,Mas,938650359,1,1
Mry,Mic,792212624,1,1
Mry,Min,273729901,1,1
Mry,MO ,349277284,1,1
Mry,Mon,65715874,1,1
Mry,NHm,151094766,1,1
Mry,NJr,2726950051,1,1
Mry,Nyr,3400149675,1,1
Mry,Nca,811358194,1,1
Mry,Nda,0,1,1
Mry,Ohi,1009023264,1,1
Mry,Pen,4336212795,1,1
Mry,Ten ,393777797,1,1
Mry,Tex,1056111016,1,1
Mry,Ver,62611187,1,1
Mry,Vir,5919085700,1,1
Mry,Was,182659083,1,1
Mry,Wis,358591345,1,1
Mas,Ala ,267520527,1,1
Mas,Ari ,611623332,1,1
Mas,Cal,3121762744,1,1
Mas,Flo,1555448170,1,1
Mas,Geo,856376155,1,1
Mas,Ida,36221348,1,1
Mas,Ill,1206688334,1,1
Mas,Ind,582128806,1,1
Mas,Ken,414993158,1,1
Mas,Lou,204909340,1,1
Mas,Mai,987290455,1,1
Mas,Mry,653019158,1,1
Mas,Mas,19388252651,1,1
Mas,Mic,890527711,1,1
Mas,Min,431034040,1,1
Mas,MO ,441900445,1,1
Mas,Mon,66233322,1,1
Mas,NHm,1703438248,1,1
Mas,NJr,2307817311,1,1
Mas,Nyr,3981243585,1,1
Mas,Nca,811875641,1,1
Mas,Nda,32081765,1,1
Mas,Ohi,1487662504,1,1
Mas,Pen,2269526172,1,1
Mas,Ten ,648879576,1,1
Mas,Tex,1573041396,1,1
Mas,Ver,553669176,1,1
Mas,Vir,1572523948,1,1
Mas,Was,418097845,1,1
Mas,Wis,553151728,1,1
Mic,Ala ,411371023,1,1
Mic,Ari ,575919432,1,1
Mic,Cal,4726885905,1,1
Mic,Flo,2426830311,1,1
Mic,Geo,2267973828,1,1
Mic,Ida,0,1,1
Mic,Ill,6806508724,1,1
Mic,Ind,5148605884,1,1
Mic,Ken,2107565002,1,1
Mic,Lou,615245467,1,1
Mic,Mai,133501540,1,1
Mic,Mry,823259494,1,1
Mic,Mas,852754020,1,1
Mic,Mic,63497057817,1,1
Mic,Min,1162705269,1,1
Mic,MO ,2350248033,1,1
Mic,Mon,63646083,1,1
Mic,NHm,191455696,1,1
Mic,NJr,2068238967,1,1
Mic,Nyr,3354614266,1,1
Mic,Nca,1206688334,1,1
Mic,Nda,145402840,1,1
Mic,Ohi,10729280705,1,1
Mic,Pen,2411824324,1,1
Mic,Ten ,1173054225,1,1
Mic,Tex,4509557817,1,1
Mic,Ver,0,1,1
Mic,Vir,1137350325,1,1
Mic,Was,615245467,1,1
Mic,Wis,2172763428,1,1
Min,Ala ,278904379,1,1
Min,Ari ,374114779,1,1
Min,Cal,2713496408,1,1
Min,Flo,794282415,1,1
Min,Geo,880696203,1,1
Min,Ida,112286179,1,1
Min,Ill,2730054738,1,1
Min,Ind,751334246,1,1
Min,Ken,347207492,1,1
Min,Lou,0,1,1
Min,Mai,85896339,1,1
Min,Mry,531936367,1,1
Min,Mas,438795758,1,1
Min,Mic,1452993500,1,1
Min,Min,22809617687,1,1
Min,MO ,827916524,1,1
Min,Mon,198182518,1,1
Min,NHm,65198426,1,1
Min,NJr,831021211,1,1
Min,Nyr,1337602634,1,1
Min,Nca,398952275,1,1
Min,Nda,969697229,1,1
Min,Ohi,1279648478,1,1
Min,Pen,1336567739,1,1
Min,Ten ,512790797,1,1
Min,Tex,2238479302,1,1
Min,Ver,27424735,1,1
Min,Vir,401539514,1,1
Min,Was,1196856825,1,1
